Combination,Wins,Losses,Total Games
"('Katarina', 'Lee Sin', 'Lulu', 'Skarner', 'Zeri')",1,0,1
"('Hwei', 'Kalista', 'Lee Sin', 'Neeko', 'Rumble')",1,0,1
"('Darius', 'Katarina', 'Lee Sin', 'Rell', 'Varus')",1,0,1
"('Alistar', 'Aurelion Sol', 'Camille', 'Corki', 'Xin Zhao')",1,0,1
"('Hwei', 'Pyke', 'Rumble', 'Viego', 'Zeri')",1,0,1
"('Alistar', 'Gwen', 'Hwei', 'Shaco', 'Zeri')",1,0,1
"('Ahri', 'Hecarim', 'Kalista', 'Malphite', 'Thresh')",1,0,1
"('Nilah', 'Rakan', 'Ryze', 'Vi', 'Yone')",1,0,1
"('Caitlyn', 'Graves', 'Hwei', 'Morgana', 'Twisted Fate')",1,0,1
"('Galio', 'Graves', 'Jhin', 'Poppy', 'Renekton')",0,1,1
"('Jarvan IV', ""Kai'Sa"", 'Nautilus', 'Vex', 'Vladimir')",1,0,1
"('Ashe', ""Bel'Veth"", 'LeBlanc', 'Olaf', 'Varus')",1,0,1
"('Azir', 'Corki', 'Jayce', 'Nautilus', 'Vi')",0,1,1
"('Cassiopeia', 'Jhin', 'Lillia', 'Qiyana', 'Rakan')",0,1,1
"('Ashe', 'Kled', 'Rumble', 'Vex', 'Xin Zhao')",1,0,1
"('Aphelios', 'Gwen', 'Thresh', 'Tryndamere', 'Zilean')",1,0,1
"('Draven', 'Katarina', 'Nautilus', 'Shen', 'Vi')",0,1,1
"('Azir', 'Elise', 'Jhin', 'Nasus', 'Pyke')",0,1,1
"('Alistar', ""Kai'Sa"", 'Lee Sin', 'Sett', 'Twisted Fate')",1,0,1
"('Alistar', 'Kindred', 'Orianna', 'Tristana', 'Vladimir')",0,1,1
"('Elise', ""Kai'Sa"", 'Qiyana', 'Rell', 'Varus')",1,0,1
"(""Kai'Sa"", 'Kindred', 'Nautilus', 'Skarner', 'Zac')",1,0,1
"('Gragas', 'Lucian', 'Milio', 'Skarner', 'Zed')",0,1,1
"('Camille', 'Kalista', 'Renata Glasc', 'Viego', 'Zac')",0,1,1
"('Ahri', 'Corki', ""K'Sante"", 'Nautilus', 'Xin Zhao')",1,0,1
"('Corki', 'Galio', 'Ornn', 'Poppy', 'Viego')",1,0,1
"('Fiora', 'Rakan', 'Smolder', 'Taliyah', 'Twisted Fate')",0,1,1
"('Fiora', 'Rakan', 'Taliyah', 'Varus', 'Zed')",1,0,1
"('Fiora', ""Kai'Sa"", 'Nautilus', 'Twisted Fate', 'Viego')",0,1,1
"('Azir', 'Jax', 'Miss Fortune', 'Seraphine', 'Sylas')",1,0,1
"('Corki', 'Fiora', 'Nautilus', 'Nidalee', 'Vex')",1,0,1
"('Blitzcrank', 'Fiddlesticks', 'Fiora', 'Tristana', 'Varus')",1,0,1
"('Blitzcrank', 'Hwei', ""Kai'Sa"", 'Master Yi', 'Riven')",1,0,1
"('Ashe', 'Aurelion Sol', 'Fiora', 'Seraphine', 'Viego')",1,0,1
"('Ashe', 'Fiora', 'Nautilus', 'Rumble', 'Syndra')",1,0,1
"('Fiora', 'Hwei', ""Kai'Sa"", 'Nautilus', 'Viego')",1,0,1
"('Akshan', 'Ashe', 'Jax', 'Nautilus', 'Nidalee')",0,1,1
"('Fiora', 'Jinx', 'Kayn', 'Tahm Kench', 'Zoe')",0,1,1
"('Corki', 'Fiora', 'Janna', 'Jinx', 'Lillia')",1,0,1
"('Fiora', 'Jhin', 'Rakan', 'Taliyah', 'Tristana')",1,0,1
"('Fiora', 'Hwei', 'Jinx', ""Rek'Sai"", 'Thresh')",1,0,1
"('Fiora', 'Hecarim', 'Nilah', 'Viego', 'Yuumi')",1,0,1
"('Fiora', ""Kai'Sa"", 'Nidalee', 'Seraphine', 'Tristana')",1,0,1
"('Aphelios', 'Fiora', 'Hwei', 'Lulu', 'Xin Zhao')",1,0,1
"('Corki', 'Draven', 'Fiora', 'Nidalee', 'Thresh')",1,0,1
"('Ahri', 'Lee Sin', 'Nautilus', 'Skarner', 'Vayne')",0,1,1
"('Jayce', 'Lee Sin', 'Leona', 'Zeri', 'Zoe')",0,1,1
"('Jinx', 'Maokai', 'Rumble', 'Skarner', 'Sylas')",0,1,1
"('Alistar', 'Hwei', ""Kai'Sa"", 'Skarner', 'Vladimir')",0,1,1
"('Corki', 'Leona', 'Skarner', 'Taliyah', 'Viego')",1,0,1
"('Alistar', 'Ekko', ""Kai'Sa"", 'Lillia', 'Urgot')",1,0,1
"('Ashe', 'Nautilus', 'Nidalee', 'Pantheon', 'Zed')",0,1,1
"('Alistar', 'Ashe', 'Nidalee', 'Riven', 'Yone')",1,0,1
"('Alistar', 'Irelia', ""Kai'Sa"", 'Taliyah', 'Viego')",1,0,1
"('Aatrox', 'Gragas', 'Kalista', 'Renata Glasc', 'Yasuo')",0,1,1
"('Corki', 'Kennen', 'Leona', 'Nidalee', 'Pantheon')",1,0,1
"('Alistar', 'Skarner', 'Taliyah', 'Viego', 'Zeri')",1,0,1
"('Blitzcrank', ""Kai'Sa"", 'Nasus', 'Nidalee', 'Twisted Fate')",1,0,1
"('Akali', 'Blitzcrank', 'Corki', 'Kled', 'Lee Sin')",1,0,1
"('Blitzcrank', 'Jayce', ""Kai'Sa"", 'Taliyah', 'Tryndamere')",1,0,1
"('Ahri', ""K'Sante"", 'Lucian', 'Nami', 'Xin Zhao')",1,0,1
"('Camille', 'Corki', ""K'Sante"", ""Rek'Sai"", 'Syndra')",1,0,1
"('Camille', 'Jayce', 'Lucian', 'Poppy', 'Taliyah')",0,1,1
"('Jinx', 'Renekton', 'Taliyah', 'Thresh', 'Twisted Fate')",1,0,1
"('Darius', 'Jhin', 'Kindred', 'Neeko', 'Skarner')",0,1,1
"('Blitzcrank', 'Caitlyn', 'Gragas', 'Lee Sin', 'Lissandra')",0,1,1
"(""Kai'Sa"", 'Kassadin', 'Kayn', 'Leona', 'Skarner')",0,1,1
"('Dr. Mundo', 'Jinx', 'Lee Sin', 'Thresh', 'Warwick')",0,1,1
"('Ashe', 'Caitlyn', 'Camille', 'Viego', 'Viktor')",1,0,1
"('Blitzcrank', 'Lee Sin', 'Sivir', 'Taliyah', 'Zac')",0,1,1
"('Akshan', 'Corki', 'Irelia', 'Lillia', 'Nautilus')",1,0,1
"('Darius', 'Jhin', 'Leona', 'Lillia', 'Lux')",1,0,1
"('Aatrox', 'LeBlanc', 'Lillia', 'Thresh', 'Varus')",1,0,1
"('Aatrox', 'Blitzcrank', 'Jinx', 'Syndra', 'Viego')",1,0,1
"('Gnar', ""Kai'Sa"", 'Lillia', 'Nautilus', 'Yasuo')",0,1,1
"('Akali', 'Blitzcrank', 'Jinx', 'Lillia', 'Tristana')",1,0,1
"('Alistar', 'Camille', 'Elise', 'Jhin', 'Vex')",0,1,1
"('Blitzcrank', 'Orianna', 'Rengar', 'Skarner', 'Zeri')",1,0,1
"('Aatrox', 'Cassiopeia', 'Corki', 'Leona', 'Viego')",1,0,1
"('Akshan', 'Blitzcrank', ""Kai'Sa"", 'Lillia', 'Skarner')",0,1,1
"('Aurelion Sol', 'Blitzcrank', 'Jayce', 'Jinx', 'Viego')",0,1,1
"('Elise', 'Galio', 'Jinx', 'Kled', 'Pyke')",1,0,1
"('Lillia', 'Nautilus', 'Samira', 'Tryndamere', 'Xerath')",1,0,1
"('Lillia', 'Malzahar', 'Maokai', 'Vayne', 'Zeri')",1,0,1
"('Aatrox', 'Graves', 'Katarina', 'Rakan', 'Varus')",1,0,1
"('Ashe', 'Fiora', 'Heimerdinger', 'Twisted Fate', 'Viego')",1,0,1
"('Kennen', 'Lee Sin', 'Lulu', 'Sett', 'Zeri')",0,1,1
"('Jayce', 'Skarner', 'Sona', 'Taliyah', 'Vayne')",1,0,1
"('Hwei', 'Mordekaiser', 'Nilah', 'Pantheon', 'Rakan')",1,0,1
"('Aatrox', 'Aphelios', 'Blitzcrank', 'Graves', 'Hwei')",1,0,1
"('Elise', 'Irelia', 'Kalista', 'Renata Glasc', 'Tristana')",0,1,1
"('Ashe', 'Azir', 'Graves', 'Varus', 'Vayne')",1,0,1
"('Aphelios', 'Braum', 'Mordekaiser', 'Orianna', 'Viego')",0,1,1
"('Annie', 'Graves', 'Irelia', ""Kai'Sa"", 'Pyke')",0,1,1
"('Azir', ""Kai'Sa"", 'Lillia', 'Renekton', 'Zilean')",0,1,1
"('Corki', ""K'Sante"", ""Kai'Sa"", 'Karthus', 'Nautilus')",1,0,1
"('Corki', 'Gnar', 'Gragas', 'Rumble', 'Varus')",0,1,1
"('Ashe', 'Braum', 'Camille', 'Corki', 'Nidalee')",1,0,1
"('Azir', 'Graves', 'Neeko', 'Wukong', 'Xayah')",0,1,1
"('Graves', 'Hwei', 'Nautilus', 'Skarner', 'Zeri')",1,0,1
"('Annie', 'Ashe', ""K'Sante"", 'Master Yi', 'Xerath')",0,1,1
"('Alistar', 'LeBlanc', 'Nidalee', 'Skarner', 'Smolder')",0,1,1
"('Ashe', 'Jayce', 'Maokai', 'Nidalee', 'Varus')",1,0,1
"('Fiddlesticks', 'Irelia', ""Kai'Sa"", 'Pyke', 'Tristana')",0,1,1
"('Annie', 'Ashe', 'Darius', 'Varus', 'Viego')",1,0,1
"('Jinx', 'Malphite', 'Nautilus', 'Nidalee', 'Tristana')",1,0,1
"('Aphelios', 'Aurelion Sol', 'Hwei', 'Lee Sin', 'Olaf')",0,1,1
"('Skarner', 'Smolder', 'Taric', 'Tristana', 'Xin Zhao')",0,1,1
"('Akshan', 'Corki', 'Gwen', 'Lillia', 'Pyke')",1,0,1
"('Azir', 'Graves', 'Jinx', 'Mordekaiser', 'Seraphine')",0,1,1
"('Aurelion Sol', 'Graves', ""Kai'Sa"", 'Nautilus', 'Shen')",0,1,1
"('Ashe', 'Jarvan IV', 'Shen', 'Taric', 'Tristana')",0,1,1
"('Graves', 'Rell', 'Shen', 'Tristana', 'Varus')",1,0,1
"('Graves', 'LeBlanc', 'Shen', 'Twitch', 'Zeri')",0,1,1
"('Corki', 'Neeko', ""Rek'Sai"", 'Shen', 'Xerath')",0,1,1
"('Alistar', 'Aphelios', 'Corki', 'Lillia', 'Zed')",1,0,1
"('Graves', 'Lissandra', 'Nautilus', 'Rumble', 'Yasuo')",1,0,1
"('Graves', ""Kai'Sa"", 'Nautilus', 'Skarner', 'Tristana')",1,0,1
"('Aatrox', 'Caitlyn', 'Seraphine', 'Shaco', 'Tristana')",0,1,1
"('Jax', 'Nautilus', 'Nidalee', 'Senna', 'Yone')",0,1,1
"('Aphelios', 'Ashe', 'Gragas', 'Graves', 'Hwei')",0,1,1
"('Azir', 'Braum', 'Jhin', 'Viego', 'Warwick')",1,0,1
"('Camille', 'Corki', 'Hwei', 'Master Yi', 'Rell')",0,1,1
"('Corki', 'Hwei', 'Lillia', 'Wukong', 'Xayah')",0,1,1
"('Aatrox', ""Kai'Sa"", 'Karthus', 'Rakan', 'Yasuo')",1,0,1
"('Akali', 'Aphelios', 'Thresh', 'Twisted Fate', 'Viego')",0,1,1
"('Blitzcrank', 'Corki', 'Fiora', 'Gragas', 'Irelia')",0,1,1
"('Corki', 'Fiora', 'Nautilus', 'Taliyah', 'Yasuo')",0,1,1
"('Akali', 'Fiora', 'Jinx', 'Leona', 'Zyra')",1,0,1
"('Camille', 'Nilah', 'Taric', 'Tristana', 'Viego')",1,0,1
"('Akshan', 'Gragas', ""Kai'Sa"", 'Nautilus', 'Nidalee')",0,1,1
"('Galio', ""K'Sante"", 'Nidalee', 'Nilah', 'Senna')",1,0,1
"('Akali', 'Galio', 'Nilah', 'Renekton', 'Xin Zhao')",1,0,1
"('Azir', 'Braum', 'Jax', 'Viego', 'Zeri')",0,1,1
"('Gnar', 'Nilah', 'Rell', 'Twisted Fate', 'Volibear')",1,0,1
"('Jayce', ""K'Sante"", 'Karthus', 'Nautilus', 'Nilah')",0,1,1
"('Ahri', 'Blitzcrank', 'Briar', 'Jax', 'Nilah')",1,0,1
"('Aphelios', 'Lillia', 'Milio', 'Rumble', 'Tristana')",0,1,1
"('Galio', 'Gnar', 'Nilah', 'Viego', 'Yuumi')",1,0,1
"('Ezreal', 'Kennen', 'Nidalee', 'Sett', 'Tristana')",1,0,1
"('Anivia', 'Cassiopeia', 'Lee Sin', 'Nautilus', 'Nilah')",0,1,1
"('Camille', 'Galio', 'Kindred', 'Nilah', 'Vayne')",0,1,1
"('Jax', 'Jayce', 'Nautilus', 'Nidalee', 'Nilah')",0,1,1
"('Fiddlesticks', 'Gragas', ""Kai'Sa"", 'Nautilus', 'Sett')",0,1,1
"('Corki', 'Karthus', 'Nautilus', 'Nilah', 'Vladimir')",1,0,1
"('Ahri', 'Graves', ""K'Sante"", 'Leona', 'Nilah')",1,0,1
"('Camille', 'Nilah', 'Taliyah', 'Twisted Fate', 'Zac')",1,0,1
"('Garen', 'Kindred', 'Nilah', 'Rakan', 'Taliyah')",0,1,1
"(""Cho'Gath"", 'Irelia', 'Nidalee', 'Samira', 'Yone')",0,1,1
"('Aphelios', 'Riven', 'Taliyah', 'Tristana', 'Zoe')",0,1,1
"(""Kha'Zix"", 'Lucian', 'Pyke', 'Twisted Fate', 'Yone')",0,1,1
"('Blitzcrank', 'Katarina', 'Twisted Fate', 'Xin Zhao', 'Zeri')",0,1,1
"('Ashe', 'Camille', 'Galio', 'Kindred', 'Seraphine')",1,0,1
"('Fiora', 'Kindred', 'LeBlanc', 'Sivir', 'Zyra')",1,0,1
"('Akali', 'Jinx', 'Kayn', 'Thresh', 'Vayne')",0,1,1
"('Fiora', 'Lulu', 'Taliyah', 'Tristana', 'Varus')",0,1,1
"('Aphelios', 'Fiora', 'Milio', 'Shaco', 'Twisted Fate')",0,1,1
"('Elise', 'Irelia', 'Jinx', 'Nautilus', 'Viktor')",1,0,1
"('Kindred', 'Nilah', 'Pantheon', 'Shen', 'Syndra')",1,0,1
"('Ezreal', 'Lee Sin', 'Nidalee', 'Vex', 'Yone')",0,1,1
"('Fiora', ""Kai'Sa"", 'Lissandra', 'Nautilus', 'Viego')",1,0,1
"('Corki', 'Elise', 'Tristana', 'Yone', 'Zac')",1,0,1
"('Fiora', 'Lulu', 'Sylas', 'Tristana', 'Zeri')",0,1,1
"('Aatrox', 'Gragas', 'Jayce', 'Jhin', 'Tahm Kench')",0,1,1
"('Aphelios', 'Leona', 'Lillia', 'Ryze', 'Viego')",1,0,1
"('Corki', 'Lillia', 'Pyke', 'Skarner', 'Ziggs')",0,1,1
"('Ashe', 'Jax', 'Lillia', 'Tristana', 'Varus')",1,0,1
"('Corki', 'Jinx', 'Poppy', 'Sylas', 'Thresh')",0,1,1
"('Hwei', 'Jax', ""Kai'Sa"", 'Nautilus', 'Ryze')",0,1,1
"('Ashe', 'Jhin', 'Kled', 'LeBlanc', 'Viego')",0,1,1
"('Ahri', 'Braum', 'Gnar', 'Graves', 'Lucian')",1,0,1
"('Corki', 'Ezreal', 'Rakan', 'Riven', 'Taliyah')",0,1,1
"('Fizz', 'Kalista', 'Lee Sin', 'Lulu', 'Rell')",1,0,1
"('Fiora', ""Kai'Sa"", 'Nidalee', 'Rell', 'Zoe')",1,0,1
"('Alistar', 'Garen', 'Graves', 'Jinx', 'Twisted Fate')",0,1,1
"('Alistar', 'Aurelion Sol', 'Jinx', 'Rumble', 'Skarner')",1,0,1
"('Fiora', 'Renata Glasc', 'Skarner', 'Tristana', 'Viktor')",1,0,1
"('Bard', 'Draven', 'Nidalee', 'Seraphine', 'Tristana')",0,1,1
"('Ahri', 'Akshan', 'Braum', 'Graves', 'Samira')",1,0,1
"('Hwei', 'Rakan', 'Rumble', 'Samira', 'Shaco')",1,0,1
"('Azir', ""Kai'Sa"", ""Kha'Zix"", 'Leona', 'Poppy')",1,0,1
"('Akshan', ""K'Sante"", ""Kai'Sa"", 'Karthus', 'Rell')",1,0,1
"('Akshan', 'Jayce', 'Jhin', 'Soraka', 'Taliyah')",1,0,1
"('Akshan', 'Jinx', 'Lillia', 'Lulu', 'Tryndamere')",0,1,1
"('Alistar', 'Jhin', ""Rek'Sai"", 'Taliyah', 'Tristana')",1,0,1
"('Kalista', 'LeBlanc', 'Rumble', 'Thresh', 'Vi')",1,0,1
"('Corki', 'Nidalee', 'Skarner', 'Thresh', 'Yone')",1,0,1
"('Aatrox', 'Kalista', 'Katarina', 'Rell', 'Viego')",1,0,1
"('Ashe', 'Braum', 'Galio', 'Graves', 'Pantheon')",0,1,1
"('Fiora', ""Kog'Maw"", 'Nautilus', 'Nidalee', 'Xerath')",0,1,1
"('Aatrox', 'Draven', 'Evelynn', 'Talon', 'Thresh')",1,0,1
"('Ashe', 'Braum', 'Hwei', 'Master Yi', 'Renekton')",0,1,1
"('LeBlanc', 'Rakan', 'Twisted Fate', 'Viego', 'Xayah')",1,0,1
"('Aatrox', 'Nunu & Willump', 'Rell', 'Samira', 'Zoe')",1,0,1
"('Ahri', 'Lucian', 'Milio', 'Nunu & Willump', 'Olaf')",1,0,1
"(""Bel'Veth"", 'Corki', 'Draven', 'Olaf', 'Rell')",0,1,1
"('Akali', ""Kai'Sa"", 'Rell', 'Viego', 'Xin Zhao')",1,0,1
"('Ashe', 'Lillia', 'Poppy', 'Seraphine', 'Tryndamere')",1,0,1
"('Darius', 'Graves', ""Kai'Sa"", 'Nautilus', 'Singed')",0,1,1
"('Ashe', 'Braum', 'Hwei', 'Viego', 'Vladimir')",1,0,1
"('Ahri', ""Rek'Sai"", 'Rumble', 'Varus', 'Zac')",1,0,1
"('Ashe', 'Nidalee', 'Pantheon', 'Seraphine', 'Veigar')",0,1,1
"('Alistar', 'Kalista', 'Karthus', 'Katarina', 'Warwick')",1,0,1
"('Dr. Mundo', ""Kai'Sa"", 'Karthus', 'Malzahar', 'Rell')",1,0,1
"('Ahri', 'Jax', 'Seraphine', 'Varus', 'Vi')",0,1,1
"('Garen', 'Taliyah', 'Yuumi', 'Zed', 'Zeri')",1,0,1
"('Draven', 'Kennen', ""Kha'Zix"", 'Nautilus', 'Twisted Fate')",1,0,1
"('Hwei', ""Kai'Sa"", 'Lee Sin', 'Neeko', 'Poppy')",0,1,1
"('Cassiopeia', 'Pantheon', 'Rakan', 'Sejuani', 'Yone')",0,1,1
"('Akshan', 'Kalista', 'Nidalee', 'Poppy', 'Tristana')",0,1,1
"('Camille', 'Corki', 'Fiora', ""Kai'Sa"", 'Lillia')",0,1,1
"('Jhin', 'Pantheon', 'Rumble', 'Taliyah', 'Yone')",1,0,1
"('Amumu', 'Jax', ""Kai'Sa"", 'Milio', 'Neeko')",0,1,1
"('Ashe', 'Braum', 'Hwei', 'Malphite', 'Viego')",0,1,1
"('Corki', 'Gragas', 'Poppy', 'Veigar', 'Xin Zhao')",0,1,1
"('Ashe', 'Corki', 'Lillia', 'Pantheon', 'Skarner')",0,1,1
"('Gangplank', 'Hwei', 'Lucian', 'Pyke', 'Vi')",1,0,1
"('Jax', ""Kai'Sa"", 'Nautilus', 'Taliyah', 'Viego')",1,0,1
"('Aatrox', 'Ashe', 'Ivern', 'Pyke', 'Vayne')",1,0,1
"('Corki', 'Gwen', 'Hecarim', 'LeBlanc', 'Wukong')",1,0,1
"('Camille', 'Ezreal', 'Nidalee', 'Tristana', 'Warwick')",0,1,1
"('Bard', 'Jayce', 'Lee Sin', 'Lissandra', 'Twisted Fate')",1,0,1
"('Diana', 'Nautilus', 'Ornn', 'Tristana', 'Twisted Fate')",0,1,1
"('Ezreal', 'Hwei', 'Rakan', 'Renekton', 'Shaco')",1,0,1
"('Hwei', ""Kai'Sa"", 'Ornn', 'Rell', 'Vi')",1,0,1
"('Lee Sin', 'Neeko', 'Rumble', 'Thresh', 'Zeri')",1,0,1
"('Fiora', 'Karthus', 'Lucian', 'Rakan', 'Tristana')",1,0,1
"('Jax', ""Rek'Sai"", 'Senna', 'Twisted Fate', 'Zeri')",0,1,1
"('Aatrox', 'Kalista', ""Kha'Zix"", 'LeBlanc', 'Leona')",0,1,1
"('Corki', 'Leona', 'Malphite', 'Nidalee', 'Yone')",1,0,1
"('Cassiopeia', 'Nunu & Willump', 'Rakan', 'Varus', 'Yone')",0,1,1
"('Hwei', 'Jinx', 'Qiyana', 'Thresh', 'Viego')",1,0,1
"('Ashe', 'Ivern', 'Karthus', 'Nautilus', 'Tristana')",0,1,1
"('Corki', 'Jax', 'Jhin', 'Nautilus', 'Nidalee')",1,0,1
"('Jax', 'Kindred', 'LeBlanc', 'Senna', ""Vel'Koz"")",0,1,1
"('Jhin', 'Lee Sin', 'Olaf', 'Thresh', 'Xerath')",0,1,1
"('Ahri', 'Jax', 'Nautilus', 'Rengar', 'Xayah')",1,0,1
"('Irelia', 'Nidalee', 'Thresh', 'Twisted Fate', 'Varus')",1,0,1
"('Ashe', 'Corki', 'Darius', 'Nidalee', 'Seraphine')",1,0,1
"('Diana', 'Gragas', 'Graves', ""Kai'Sa"", 'Nautilus')",0,1,1
"('Aphelios', 'Kayn', 'LeBlanc', 'Thresh', 'Udyr')",1,0,1
"('Ahri', 'Senna', 'Skarner', 'Smolder', 'Vi')",1,0,1
"('Aatrox', 'Ashe', 'Hwei', 'Janna', 'Lee Sin')",1,0,1
"('Jhin', 'Kindred', 'LeBlanc', 'Skarner', 'Zoe')",0,1,1
"('Draven', 'Galio', 'Jax', 'Nautilus', 'Olaf')",1,0,1
"('Draven', 'Kennen', 'Nidalee', 'Rell', 'Warwick')",1,0,1
"('Azir', 'Kalista', 'Leona', 'Nidalee', 'Riven')",0,1,1
"('Ezreal', 'Graves', 'Karma', 'LeBlanc', 'Skarner')",1,0,1
"('Jinx', 'Lulu', 'Nidalee', 'Skarner', 'Zed')",0,1,1
"('Rumble', 'Sion', 'Taliyah', 'Varus', 'Yone')",0,1,1
"('Akali', 'Graves', 'Illaoi', 'Rakan', 'Twitch')",0,1,1
"('Bard', 'Fiora', 'Jhin', 'LeBlanc', 'Nidalee')",1,0,1
"('Nidalee', 'Qiyana', 'Renekton', 'Senna', 'Seraphine')",0,1,1
"('Dr. Mundo', 'Draven', 'Pyke', 'Taliyah', 'Talon')",0,1,1
"('Cassiopeia', 'Hwei', 'Jayce', 'Jhin', 'Nidalee')",0,1,1
"('Katarina', 'LeBlanc', 'Poppy', 'Sivir', 'Twisted Fate')",1,0,1
"('Jayce', 'Mordekaiser', 'Nautilus', 'Nunu & Willump', 'Samira')",1,0,1
"('Akali', 'Camille', 'Graves', 'Lucian', 'Poppy')",1,0,1
"('Corki', ""K'Sante"", 'Nautilus', 'Nidalee', 'Samira')",0,1,1
"('Alistar', 'Draven', 'Hwei', 'Kindred', 'Poppy')",0,1,1
"('Aatrox', 'Hwei', 'Seraphine', 'Varus', 'Viego')",1,0,1
"('Camille', 'Diana', 'LeBlanc', 'Pyke', 'Yasuo')",1,0,1
"('Camille', 'Swain', 'Taliyah', 'Varus', 'Yasuo')",0,1,1
"('Ezreal', 'Jarvan IV', ""K'Sante"", 'LeBlanc', 'Lee Sin')",1,0,1
"('Corki', 'Kayn', 'Kennen', 'Miss Fortune', 'Rell')",1,0,1
"('Jinx', 'Karthus', 'Rell', 'Sylas', 'Warwick')",1,0,1
"('Cassiopeia', 'Graves', 'Irelia', 'Jhin', 'Karma')",1,0,1
"('Fiddlesticks', ""Kog'Maw"", 'Lulu', 'Sylas', 'Yorick')",1,0,1
"('Ashe', 'Camille', 'Lillia', 'Sivir', 'Talon')",1,0,1
"('Jayce', ""Rek'Sai"", 'Thresh', 'Varus', 'Viktor')",1,0,1
"(""Bel'Veth"", 'Hwei', ""K'Sante"", 'Nautilus', 'Tristana')",1,0,1
"('Gragas', 'Graves', 'Jax', 'Xerath', 'Yasuo')",1,0,1
"('Aatrox', 'Camille', 'Heimerdinger', 'Hwei', 'Lee Sin')",0,1,1
"('Nautilus', 'Nidalee', 'Sylas', 'Tryndamere', 'Varus')",1,0,1
"('Ashe', 'Lillia', 'Seraphine', 'Shen', 'Tristana')",1,0,1
"('Jhin', 'Lee Sin', 'Rumble', 'Ryze', 'Tristana')",0,1,1
"('Blitzcrank', 'Elise', 'Jinx', 'Volibear', 'Zoe')",0,1,1
"('Ezreal', 'Hwei', 'Karma', ""Rek'Sai"", 'Twisted Fate')",0,1,1
"('Hwei', 'Jhin', ""Rek'Sai"", 'Seraphine', 'Twisted Fate')",0,1,1
"('Jax', 'Nunu & Willump', 'Seraphine', 'Taliyah', 'Zeri')",0,1,1
"('Jax', 'LeBlanc', 'Nautilus', 'Nidalee', 'Varus')",0,1,1
"(""K'Sante"", 'Lucian', 'Nami', 'Nidalee', 'Yone')",1,0,1
"('Aurelion Sol', 'Gnar', ""Kai'Sa"", 'Rakan', 'Skarner')",0,1,1
"('Graves', ""K'Sante"", 'Miss Fortune', 'Rell', 'Sylas')",0,1,1
"('Blitzcrank', 'Gnar', 'Sylas', 'Tristana', 'Zyra')",1,0,1
"('Braum', 'Corki', 'Lissandra', 'Vayne', 'Warwick')",1,0,1
"('Graves', ""Kai'Sa"", 'Katarina', 'Rell', 'Skarner')",0,1,1
"('Blitzcrank', 'Corki', 'Gwen', 'LeBlanc', 'Warwick')",1,0,1
"('Jhin', 'Karthus', 'Pyke', 'Tristana', 'Twisted Fate')",1,0,1
"(""Kai'Sa"", 'Lillia', 'Nautilus', 'Poppy', 'Viego')",1,0,1
"('Diana', 'Gnar', 'Rell', 'Senna', 'Warwick')",0,1,1
"('Aurelion Sol', ""K'Sante"", 'Lillia', 'Miss Fortune', 'Thresh')",0,1,1
"('Aurelion Sol', 'Seraphine', 'Skarner', 'Varus', 'Warwick')",0,1,1
"('Ashe', 'Braum', 'Syndra', 'Teemo', 'Udyr')",0,1,1
"('Aphelios', 'Fiora', 'Karthus', 'LeBlanc', 'Thresh')",1,0,1
"('LeBlanc', 'Nautilus', 'Senna', 'Skarner', 'Xin Zhao')",1,0,1
"('Ashe', 'Braum', 'LeBlanc', 'Rumble', 'Viego')",1,0,1
"('Ashe', 'Braum', 'Viego', 'Zac', 'Zoe')",1,0,1
"(""K'Sante"", ""Kai'Sa"", 'Nautilus', 'Twisted Fate', 'Viego')",1,0,1
"('Evelynn', 'Jhin', 'Tristana', 'Tryndamere', 'Zyra')",0,1,1
"('Ashe', ""Bel'Veth"", 'Hwei', 'Seraphine', 'Tryndamere')",1,0,1
"('Draven', 'Katarina', 'Lee Sin', 'Rell', 'Rumble')",1,0,1
"('Akshan', ""Kog'Maw"", 'Lillia', 'Lulu', 'Viego')",0,1,1
"('Hecarim', ""Kai'Sa"", 'Nautilus', 'Renekton', 'Taliyah')",0,1,1
"('Dr. Mundo', 'Hwei', 'Kindred', 'Rumble', 'Varus')",1,0,1
"('Braum', 'Jinx', ""Rek'Sai"", 'Sylas', 'Twisted Fate')",1,0,1
"('Graves', 'Gwen', 'Hwei', 'Nautilus', 'Varus')",1,0,1
"('Ashe', 'Braum', 'Lee Sin', 'Pantheon', 'Xerath')",1,0,1
"('Brand', 'Kalista', 'Rell', 'Skarner', 'Zed')",1,0,1
"('Jhin', 'Karthus', 'Sona', 'Tristana', 'Twisted Fate')",1,0,1
"('Neeko', 'Nidalee', 'Riven', 'Twisted Fate', 'Varus')",1,0,1
"('Caitlyn', 'Jax', 'Neeko', 'Nidalee', 'Viego')",1,0,1
"('Akali', 'Caitlyn', 'Gwen', 'Lulu', 'Quinn')",1,0,1
"('Ashe', 'Aurelion Sol', 'Braum', 'Gnar', 'Lee Sin')",1,0,1
"('Heimerdinger', 'Kindred', 'Lucian', 'Orianna', 'Rell')",1,0,1
"('Aatrox', 'Elise', 'Ezreal', ""Kai'Sa"", 'Tristana')",0,1,1
"('Ezreal', 'Heimerdinger', 'Hwei', 'Jax', 'Nidalee')",0,1,1
"('Lee Sin', 'Malphite', 'Smolder', 'Soraka', 'Talon')",0,1,1
